"ID","Title","Parent"
"11030","Set defined inputs as readonly","11015"
"11031","Add CO badge in affected inputs","11015"
"11032","Set total count in badge of side menu","11015"
"11033","Remove Dealer column in vehicle grid","11015"
"11034","Show CO alert in confirmation modal when the user try save changes in CO fields","11015"
"11035","Demo","11015"
"11041","QA Demo","10709"
"11107","QA - Análisis US","10800"
"11108","QA - Crear TP","10800"
"11109","QA - Preparar TP","10800"
"11110","QA - Ejecutar TP","10800"
"11111","QA Ejecutar pruebas","10460"
"11119","QA - Preparar Test Plan","10971"
"11120","QA - Preparar Test Plan","10972"
"11121","QA - Preparar Test Plan","11015"
"11139","QA - Ejecutar Test Plan","10972"
"11140","QA - Ejecutar Test Plan","10971"
"11183","QA - Preparar Test Plan","9939"
"11184","QA - Ejecutar Test Plan","9939"
"11185","QA - Demo","9939"
"11186","QA - Preparar Test Plan","10709"
"11187","QA - Ejecutar Test Plan","10709"
"11193","QA - Ejecutar Test Plan","10966"
"11194","QA - Demo","10966"
"11199","QA - Ejecutar Pruebas","10967"
"11200","QA - Demo","10967"
